id,text,url_present,label
1,Your account has been suspended. Click https://secure-login.xyz/verify now,1,phishing
2,"Hey, are we still meeting at 6pm?",0,safe
3,URGENT: PayPal limited your account. Confirm identity at http://paypa1.com/,1,phishing
4,Your package will arrive tomorrow. Track: https://tracking.usps.com,1,safe
5,Congratulations! You won a free iPhone. Claim here: http://win-prize.tk/claim,1,phishing
6,Reminder: Doctor appointment on Friday at 10am,0,safe
7,Bank of America: Unusual login detected. Verify now: https://bank-verify.ga,1,phishing
8,Netflix: Your payment failed. Update billing: http://netf1ix.xyz/billing,1,phishing
9,See photos from Sarah's wedding: https://photos.google.com/share,1,safe
10,Free $1000 Walmart gift card! Click http://gift-card.ml now,1,phishing
11,Your DHL shipment #DH12345 has been delayed,0,safe
12,Amazon: Your order #9876 has shipped,0,safe
13,Security alert: Someone tried to access your iCloud. Lock your account: http://icloud-secure.cf,1,phishing
14,Meeting cancelled for tomorrow,0,safe
15,ATTENTION: Your WhatsApp verification code is 847291,0,phishing
16,Invoice #INV-2025 attached. Please pay by Friday,0,safe
17,We noticed a login from an unknown device. Verify now: http://faceb00k-login.xyz,1,phishing
18,Dinner tonight at 8pm?,0,safe
19,Your Apple ID is about to expire. Update here: http://app1eid.ga,1,phishing
20,Microsoft account unusual sign-in. Click to secure: http://micros0ft-verify.tk,1,phishing
21,Your flight confirmation #FL123,0,safe
22,Free Robux generator! http://robux-free.xyz,1,phishing
23,Don't forget to vote in tomorrow's election,0,safe
24,PayPal: We need to verify your business account. Click http://paypal-verify.cf,1,phishing
25,"Your order has been shipped, tracking #TRK998",0,safe
26,Refund of $299 is pending. Claim now: http://refund-claim.xyz,1,phishing
27,Telegram code: 482103. Do not share this with anyone.,0,phishing
28,Bank transfer received: $1500 from John,0,safe
29,Netflix subscription expiring today! Renew here: http://netflix-billing.tk,1,phishing
30,Your Amazon delivery is delayed. Click to reschedule: http://amaz0n-delivery.xyz,1,phishing
31,Updated meeting link: https://zoom.us/j/123456,1,safe
32,Urgent: Wire transfer needed for invoice #INV456,0,phishing
